1	-1.998879	3.045300
2	-1.930440	2.867909
3	-1.916579	2.226156
4	-1.503553	2.527441
5	-1.201245	2.804092
6	-1.197958	3.238194
7	-1.035701	3.312710
8	-1.014079	3.136944
9	-0.885899	4.039063
10	-0.869804	3.587214
11	-0.723752	3.866387
12	-0.693541	3.878996
13	-0.367955	3.757980
14	-0.196831	4.809168
15	-0.179261	4.431448
16	0.050765	4.472747
17	0.108993	4.210196
18	0.118689	4.281251
19	0.188525	4.212288
20	0.279133	4.402253
21	0.390066	4.421538
22	0.465820	4.559579
23	0.511727	5.270121
24	0.547202	4.874957
25	0.604315	5.204241
26	0.723141	4.834731
27	0.738968	5.051407
28	0.815596	5.245896
29	0.932830	5.405437
30	0.950432	5.090435
31	0.950634	5.297023
32	0.968898	7.140642
33	1.037258	6.096248
34	1.229905	5.331761
35	1.438821	5.541993
36	1.955253	7.020525
37	2.735336	7.146939
38	2.742521	7.682250
39	2.883569	7.025891
40	2.993871	7.162258
41	3.066496	8.196664
42	3.422049	7.421954
43	4.099744	8.712921
44	4.493566	9.012738
45	4.523539	8.650029
46	4.597783	9.510983
47	4.777902	9.347743
48	5.085893	9.994394
49	5.419547	9.552038
50	5.562086	9.950079
